geom,df,subarm,seed_index,seed
RTH,gaussian,reference,4,489425811
RTH,nu2.95,signal,0,2752852513
RTH,nu2.95,signal,1,877112899
RTH,nu2.95,signal,2,911778694
RTH,nu2.95,signal,3,3479316923
RTH,nu2.95,signal,4,4024663592
RTH,nu2.95,reference,0,1518444259
RTH,nu2.95,reference,1,992630097
RTH,nu2.95,reference,2,1780395167
RTH,nu2.95,reference,3,2060574957
RTH,nu2.95,reference,4,2673895515
RTH,nu3,signal,0,3760201663
RTH,nu3,signal,1,429701574
RTH,nu3,signal,2,1526039578
RTH,nu3,signal,3,1675107140
RTH,nu3,signal,4,179571710
RTH,nu3,reference,0,292721137
RTH,nu3,reference,1,1964277819
RTH,nu3,reference,2,775035947
RTH,nu3,reference,3,1153791166
RTH,nu3,reference,4,298569607
RTH,nu3.67,signal,0,3792816804
RTH,nu3.67,signal,1,3899105040
RTH,nu3.67,signal,2,2779108315
RTH,nu3.67,signal,3,1688233461
RTH,nu3.67,signal,4,1520814901
RTH,nu3.67,reference,0,2271594059
RTH,nu3.67,reference,1,341935111
RTH,nu3.67,reference,2,2313135987
RTH,nu3.67,reference,3,4087089
RTH,nu3.67,reference,4,2590931389
RTH,nu4,signal,0,2777772710
RTH,nu4,signal,1,2219152195
RTH,nu4,signal,2,3443109406
RTH,nu4,signal,3,3731007168
RTH,nu4,signal,4,1042925527
RTH,nu4,reference,0,1734218797
RTH,nu4,reference,1,602177309
RTH,nu4,reference,2,3813652189
RTH,nu4,reference,3,787091767
RTH,nu4,reference,4,977332774
RTH,nu6,signal,0,689237432
RTH,nu6,signal,1,3978279518
RTH,nu6,signal,2,1055950227
RTH,nu6,signal,3,2419235118
RTH,nu6,signal,4,3340648954
RTH,nu6,reference,0,1598498757
RTH,nu6,reference,1,3568320724
RTH,nu6,reference,2,3101758517
RTH,nu6,reference,3,3984026720
RTH,nu6,reference,4,2091817742
RTH,nu10,signal,0,630190941
RTH,nu10,signal,1,3378754975
RTH,nu10,signal,2,1328926280
RTH,nu10,signal,3,3051983641
RTH,nu10,signal,4,4026658838
RTH,nu10,reference,0,2059131766
RTH,nu10,reference,1,3130540755
RTH,nu10,reference,2,2734450249
RTH,nu10,reference,3,2434794752
RTH,nu10,reference,4,2375233356
