item,occurrence,key,line,kind,token,clause
11,1,11#1,57,path,SCOPE.md,SCOPE.md is not present anywhere in the working tree (checked at session start).
11,1,11#1,57,code,S03,"S03 validated against the SCOPE figures quoted in the session instructions: 573,473 non-positive prices (matched exactly), ~91-day median front holding (matched: 91 ES / 89 NQ calendar days), 95-100% fill from 2016 (matc"
11,1,11#1,57,code,ES,"S03 validated against the SCOPE figures quoted in the session instructions: 573,473 non-positive prices (matched exactly), ~91-day median front holding (matched: 91 ES / 89 NQ calendar days), 95-100% fill from 2016 (matc"
11,1,11#1,57,code,NQ,"S03 validated against the SCOPE figures quoted in the session instructions: 573,473 non-positive prices (matched exactly), ~91-day median front holding (matched: 91 ES / 89 NQ calendar days), 95-100% fill from 2016 (matc"
11,1,11#1,57,name,New York,"The early-close rule as applied catches every session whose day portion halts before 15:00 New York: 68 per root, a superset of the ~18 designated half-days (day after Thanksgiving, July 3, Christmas Eve), because full-h"
11,1,11#1,57,number,11,11.
11,1,11#1,57,number,"573,473","S03 validated against the SCOPE figures quoted in the session instructions: 573,473 non-positive prices (matched exactly), ~91-day median front holding (matched: 91 ES / 89 NQ calendar days), 95-100% fill from 2016 (matc"
11,1,11#1,57,number,91,"S03 validated against the SCOPE figures quoted in the session instructions: 573,473 non-positive prices (matched exactly), ~91-day median front holding (matched: 91 ES / 89 NQ calendar days), 95-100% fill from 2016 (matc"
11,1,11#1,57,number,91,"S03 validated against the SCOPE figures quoted in the session instructions: 573,473 non-positive prices (matched exactly), ~91-day median front holding (matched: 91 ES / 89 NQ calendar days), 95-100% fill from 2016 (matc"
11,1,11#1,57,number,89,"S03 validated against the SCOPE figures quoted in the session instructions: 573,473 non-positive prices (matched exactly), ~91-day median front holding (matched: 91 ES / 89 NQ calendar days), 95-100% fill from 2016 (matc"
11,1,11#1,57,number,95,"S03 validated against the SCOPE figures quoted in the session instructions: 573,473 non-positive prices (matched exactly), ~91-day median front holding (matched: 91 ES / 89 NQ calendar days), 95-100% fill from 2016 (matc"
11,1,11#1,57,number,2016,"S03 validated against the SCOPE figures quoted in the session instructions: 573,473 non-positive prices (matched exactly), ~91-day median front holding (matched: 91 ES / 89 NQ calendar days), 95-100% fill from 2016 (matc"
11,1,11#1,57,number,95.1,"S03 validated against the SCOPE figures quoted in the session instructions: 573,473 non-positive prices (matched exactly), ~91-day median front holding (matched: 91 ES / 89 NQ calendar days), 95-100% fill from 2016 (matc"
11,1,11#1,57,number,"2,742","1-100%), ~2,742 sessions from 2016 (consistent: 2,066 realized 2016-2023 plus ~675 projected 2024-2026."
11,1,11#1,57,number,2016,"1-100%), ~2,742 sessions from 2016 (consistent: 2,066 realized 2016-2023 plus ~675 projected 2024-2026."
11,1,11#1,57,number,"2,066","1-100%), ~2,742 sessions from 2016 (consistent: 2,066 realized 2016-2023 plus ~675 projected 2024-2026."
11,1,11#1,57,number,2016,"1-100%), ~2,742 sessions from 2016 (consistent: 2,066 realized 2016-2023 plus ~675 projected 2024-2026."
11,1,11#1,57,number,675,"1-100%), ~2,742 sessions from 2016 (consistent: 2,066 realized 2016-2023 plus ~675 projected 2024-2026."
11,1,11#1,57,number,2024,"1-100%), ~2,742 sessions from 2016 (consistent: 2,066 realized 2016-2023 plus ~675 projected 2024-2026."
11,1,11#1,57,number,15,"The early-close rule as applied catches every session whose day portion halts before 15:00 New York: 68 per root, a superset of the ~18 designated half-days (day after Thanksgiving, July 3, Christmas Eve), because full-h"
11,1,11#1,57,number,00,"The early-close rule as applied catches every session whose day portion halts before 15:00 New York: 68 per root, a superset of the ~18 designated half-days (day after Thanksgiving, July 3, Christmas Eve), because full-h"
11,1,11#1,57,number,68,"The early-close rule as applied catches every session whose day portion halts before 15:00 New York: 68 per root, a superset of the ~18 designated half-days (day after Thanksgiving, July 3, Christmas Eve), because full-h"
11,1,11#1,57,number,18,"The early-close rule as applied catches every session whose day portion halts before 15:00 New York: 68 per root, a superset of the ~18 designated half-days (day after Thanksgiving, July 3, Christmas Eve), because full-h"
11,1,11#1,57,number,3,"The early-close rule as applied catches every session whose day portion halts before 15:00 New York: 68 per root, a superset of the ~18 designated half-days (day after Thanksgiving, July 3, Christmas Eve), because full-h"
11,1,11#1,57,number,4,"The early-close rule as applied catches every session whose day portion halts before 15:00 New York: 68 per root, a superset of the ~18 designated half-days (day after Thanksgiving, July 3, Christmas Eve), because full-h"
11,1,11#1,57,number,68,"All 68 are excluded and enumerated; the 18-vs-68 discrepancy is reported, not hidden."
11,1,11#1,57,number,18,"All 68 are excluded and enumerated; the 18-vs-68 discrepancy is reported, not hidden."
12,1,12#1,69,path,2/E,NSR denominators: E[IV] in NSR = omega^2/E[IV] is the signature-plot intercept for both N1 and N2 (documented convention; the coarsest-M mean RV is reported alongside as the alternative denominator).
12,1,12#1,69,code,IV,NSR denominators: E[IV] in NSR = omega^2/E[IV] is the signature-plot intercept for both N1 and N2 (documented convention; the coarsest-M mean RV is reported alongside as the alternative denominator).
12,1,12#1,69,code,IV,NSR denominators: E[IV] in NSR = omega^2/E[IV] is the signature-plot intercept for both N1 and N2 (documented convention; the coarsest-M mean RV is reported alongside as the alternative denominator).
12,1,12#1,69,code,RV,NSR denominators: E[IV] in NSR = omega^2/E[IV] is the signature-plot intercept for both N1 and N2 (documented convention; the coarsest-M mean RV is reported alongside as the alternative denominator).
12,1,12#1,69,code,IV,"N1-vs-N2 disagreement is reported as found; the Hansen-Lunde estimator's noise-dominance premise (2*n*omega^2 >> IV) fails at 1-minute bars, which S02 documented as the E6 degeneracy, and the S03 data confirm: N2 exceeds"
12,1,12#1,69,code,S02,"N1-vs-N2 disagreement is reported as found; the Hansen-Lunde estimator's noise-dominance premise (2*n*omega^2 >> IV) fails at 1-minute bars, which S02 documented as the E6 degeneracy, and the S03 data confirm: N2 exceeds"
12,1,12#1,69,code,S03,"N1-vs-N2 disagreement is reported as found; the Hansen-Lunde estimator's noise-dominance premise (2*n*omega^2 >> IV) fails at 1-minute bars, which S02 documented as the E6 degeneracy, and the S03 data confirm: N2 exceeds"
12,1,12#1,69,name,Hansen,"N1-vs-N2 disagreement is reported as found; the Hansen-Lunde estimator's noise-dominance premise (2*n*omega^2 >> IV) fails at 1-minute bars, which S02 documented as the E6 degeneracy, and the S03 data confirm: N2 exceeds"
12,1,12#1,69,name,Lunde,"N1-vs-N2 disagreement is reported as found; the Hansen-Lunde estimator's noise-dominance premise (2*n*omega^2 >> IV) fails at 1-minute bars, which S02 documented as the E6 degeneracy, and the S03 data confirm: N2 exceeds"
12,1,12#1,69,number,12,12.
12,1,12#1,69,number,2,"N1-vs-N2 disagreement is reported as found; the Hansen-Lunde estimator's noise-dominance premise (2*n*omega^2 >> IV) fails at 1-minute bars, which S02 documented as the E6 degeneracy, and the S03 data confirm: N2 exceeds"
12,1,12#1,69,number,2,"N1-vs-N2 disagreement is reported as found; the Hansen-Lunde estimator's noise-dominance premise (2*n*omega^2 >> IV) fails at 1-minute bars, which S02 documented as the E6 degeneracy, and the S03 data confirm: N2 exceeds"
12,1,12#1,69,number,1,"N1-vs-N2 disagreement is reported as found; the Hansen-Lunde estimator's noise-dominance premise (2*n*omega^2 >> IV) fails at 1-minute bars, which S02 documented as the E6 degeneracy, and the S03 data confirm: N2 exceeds"
13,1,13#1,79,path,1901/1901,"Final counts: RTH 1901/1901 (ES/NQ), GLOBEX 1953/1948."
13,1,13#1,79,path,ES/NQ,"Final counts: RTH 1901/1901 (ES/NQ), GLOBEX 1953/1948."
13,1,13#1,79,path,1953/1948,"Final counts: RTH 1901/1901 (ES/NQ), GLOBEX 1953/1948."
13,1,13#1,79,path,1902/1902,S03's single geometry-blind count was 1902/1902.
13,1,13#1,79,code,R1,R1 split the early-close rule by geometry.
13,1,13#1,79,code,RTH,"RTH excludes all 68 early-halting sessions per root (16 designated half-days plus 52 holiday sessions); GLOBEX retains holiday sessions whose overnight is >= 90% complete, excluding only 16 (ES) / 21 (NQ)."
13,1,13#1,79,code,GLOBEX,"RTH excludes all 68 early-halting sessions per root (16 designated half-days plus 52 holiday sessions); GLOBEX retains holiday sessions whose overnight is >= 90% complete, excluding only 16 (ES) / 21 (NQ)."
13,1,13#1,79,code,ES,"RTH excludes all 68 early-halting sessions per root (16 designated half-days plus 52 holiday sessions); GLOBEX retains holiday sessions whose overnight is >= 90% complete, excluding only 16 (ES) / 21 (NQ)."
13,1,13#1,79,code,NQ,"RTH excludes all 68 early-halting sessions per root (16 designated half-days plus 52 holiday sessions); GLOBEX retains holiday sessions whose overnight is >= 90% complete, excluding only 16 (ES) / 21 (NQ)."
13,1,13#1,79,code,RTH,"Final counts: RTH 1901/1901 (ES/NQ), GLOBEX 1953/1948."
13,1,13#1,79,code,ES,"Final counts: RTH 1901/1901 (ES/NQ), GLOBEX 1953/1948."
13,1,13#1,79,code,NQ,"Final counts: RTH 1901/1901 (ES/NQ), GLOBEX 1953/1948."
13,1,13#1,79,code,GLOBEX,"Final counts: RTH 1901/1901 (ES/NQ), GLOBEX 1953/1948."
13,1,13#1,79,code,S03,S03's single geometry-blind count was 1902/1902.
13,1,13#1,79,number,13,13.
13,1,13#1,79,number,68,"RTH excludes all 68 early-halting sessions per root (16 designated half-days plus 52 holiday sessions); GLOBEX retains holiday sessions whose overnight is >= 90% complete, excluding only 16 (ES) / 21 (NQ)."
13,1,13#1,79,number,16,"RTH excludes all 68 early-halting sessions per root (16 designated half-days plus 52 holiday sessions); GLOBEX retains holiday sessions whose overnight is >= 90% complete, excluding only 16 (ES) / 21 (NQ)."
13,1,13#1,79,number,52,"RTH excludes all 68 early-halting sessions per root (16 designated half-days plus 52 holiday sessions); GLOBEX retains holiday sessions whose overnight is >= 90% complete, excluding only 16 (ES) / 21 (NQ)."
13,1,13#1,79,number,90,"RTH excludes all 68 early-halting sessions per root (16 designated half-days plus 52 holiday sessions); GLOBEX retains holiday sessions whose overnight is >= 90% complete, excluding only 16 (ES) / 21 (NQ)."
13,1,13#1,79,number,16,"RTH excludes all 68 early-halting sessions per root (16 designated half-days plus 52 holiday sessions); GLOBEX retains holiday sessions whose overnight is >= 90% complete, excluding only 16 (ES) / 21 (NQ)."
13,1,13#1,79,number,21,"RTH excludes all 68 early-halting sessions per root (16 designated half-days plus 52 holiday sessions); GLOBEX retains holiday sessions whose overnight is >= 90% complete, excluding only 16 (ES) / 21 (NQ)."
14,1,14#1,87,code,R2,"R2 degraded-condition dates are flagged, not excluded; 16 affected trade dates; all S04 diagnostics reported with and without them."
14,1,14#1,87,code,S04,"R2 degraded-condition dates are flagged, not excluded; 16 affected trade dates; all S04 diagnostics reported with and without them."
14,1,14#1,87,number,14,14.
14,1,14#1,87,number,16,"R2 degraded-condition dates are flagged, not excluded; 16 affected trade dates; all S04 diagnostics reported with and without them."
15,1,15#1,89,date,2018-08-05,R3 root cause: the weekend trade date 2018-08-05 came from two genuine pre-open prints (ESU8/NQU8) in the Sunday 17:59 halt minute; the +6h convention dates them Sunday.
15,1,15#1,89,path,ESU8/NQU8,R3 root cause: the weekend trade date 2018-08-05 came from two genuine pre-open prints (ESU8/NQU8) in the Sunday 17:59 halt minute; the +6h convention dates them Sunday.
15,1,15#1,89,code,R3,R3 root cause: the weekend trade date 2018-08-05 came from two genuine pre-open prints (ESU8/NQU8) in the Sunday 17:59 halt minute; the +6h convention dates them Sunday.
15,1,15#1,89,code,S04,"Two S04 implementation bugs found and fixed before any diagnostic ran, both logged: an over-broad first patch (pushed Friday prints to Saturday) and an object-dtype boolean inversion that collapsed the GLOBEX early-close"
15,1,15#1,89,code,GLOBEX,"Two S04 implementation bugs found and fixed before any diagnostic ran, both logged: an over-broad first patch (pushed Friday prints to Saturday) and an object-dtype boolean inversion that collapsed the GLOBEX early-close"
15,1,15#1,89,code,RTH,"Two S04 implementation bugs found and fixed before any diagnostic ran, both logged: an over-broad first patch (pushed Friday prints to Saturday) and an object-dtype boolean inversion that collapsed the GLOBEX early-close"
15,1,15#1,89,number,15,15.
15,1,15#1,89,number,17,R3 root cause: the weekend trade date 2018-08-05 came from two genuine pre-open prints (ESU8/NQU8) in the Sunday 17:59 halt minute; the +6h convention dates them Sunday.
15,1,15#1,89,number,59,R3 root cause: the weekend trade date 2018-08-05 came from two genuine pre-open prints (ESU8/NQU8) in the Sunday 17:59 halt minute; the +6h convention dates them Sunday.
15,1,15#1,89,number,2,Patch: weekend-dated bars reassign to the next Monday (2 rows; -1 phantom session per root).
13,2,13#2,100,code,S04,The S04 reading that a Hill tail index of 2.
13,2,13#2,100,code,S04,"What the tail index affects is cross-day pooling, averaging, and cross-day asymptotic variance, which is what the S04 concentration statistics measured."
13,2,13#2,100,name,Hill,The S04 reading that a Hill tail index of 2.
13,2,13#2,100,name,Hill,"The Hill index is measured on the unconditional 1-minute return distribution, which is a variance mixture across volatility regimes."
13,2,13#2,100,number,13,13.
13,2,13#2,100,number,2.95,The S04 reading that a Hill tail index of 2.95-3.
13,2,13#2,100,number,1,"The Hill index is measured on the unconditional 1-minute return distribution, which is a variance mixture across volatility regimes."
14,2,14#2,107,path,2/M,"It uses (2/M)*RQ/RV^2, which is scale-free and equals 2/M exactly under constant volatility."
14,2,14#2,107,path,RQ/RV,"It uses (2/M)*RQ/RV^2, which is scale-free and equals 2/M exactly under constant volatility."
14,2,14#2,107,path,2/M,"It uses (2/M)*RQ/RV^2, which is scale-free and equals 2/M exactly under constant volatility."
14,2,14#2,107,code,E4,E4 does not use RQ.
14,2,14#2,107,code,RQ,E4 does not use RQ.
14,2,14#2,107,code,RQ,"It uses (2/M)*RQ/RV^2, which is scale-free and equals 2/M exactly under constant volatility."
14,2,14#2,107,code,RV,"It uses (2/M)*RQ/RV^2, which is scale-free and equals 2/M exactly under constant volatility."
14,2,14#2,107,code,S04,S04 reported RQ levels and never reported the ratio.
14,2,14#2,107,code,RQ,S04 reported RQ levels and never reported the ratio.
14,2,14#2,107,code,E4,The quantity that decides E4 is therefore unmeasured.
14,2,14#2,107,code,S05,S05 measures it.
14,2,14#2,107,number,14,14.
14,2,14#2,107,number,2,"It uses (2/M)*RQ/RV^2, which is scale-free and equals 2/M exactly under constant volatility."
15,2,15#2,110,code,MCS,"The criterion becomes whether Model Confidence Set composition differs between corrected and uncorrected evaluation, using the published MCS procedure of Hansen, Lunde and Nason (2011) at its conventional significance le"
15,2,15#2,110,name,Hansen,"The criterion becomes whether Model Confidence Set composition differs between corrected and uncorrected evaluation, using the published MCS procedure of Hansen, Lunde and Nason (2011) at its conventional significance le"
15,2,15#2,110,name,Lunde,"The criterion becomes whether Model Confidence Set composition differs between corrected and uncorrected evaluation, using the published MCS procedure of Hansen, Lunde and Nason (2011) at its conventional significance le"
15,2,15#2,110,number,15,15.
15,2,15#2,110,number,2011,"The criterion becomes whether Model Confidence Set composition differs between corrected and uncorrected evaluation, using the published MCS procedure of Hansen, Lunde and Nason (2011) at its conventional significance le"
16,1,16#1,117,path,4/5,"97 * xi^(4/5) * n^(3/5) with xi^2 = Var(noise)/IV, applied not tuned."
16,1,16#1,117,path,3/5,"97 * xi^(4/5) * n^(3/5) with xi^2 = Var(noise)/IV, applied not tuned."
16,1,16#1,117,code,IV,"97 * xi^(4/5) * n^(3/5) with xi^2 = Var(noise)/IV, applied not tuned."
16,1,16#1,117,number,16,16.
16,1,16#1,117,number,0.97,"Realized kernel bandwidth uses the published rule H = 0.97 * xi^(4/5) * n^(3/5) with xi^2 = Var(noise)/IV, applied not tuned."
16,1,16#1,117,number,2,"97 * xi^(4/5) * n^(3/5) with xi^2 = Var(noise)/IV, applied not tuned."
17,1,17#1,122,code,S03,"S03, S04 and S05 pinned no environment and, so far as the code shows, logged no seeds."
17,1,17#1,122,code,S04,"S03, S04 and S05 pinned no environment and, so far as the code shows, logged no seeds."
17,1,17#1,122,code,S05,"S03, S04 and S05 pinned no environment and, so far as the code shows, logged no seeds."
17,1,17#1,122,code,S05A,"S05A retrofits what is retrofittable and determines by measurement whether S05 requires a rerun, rather than presuming one."
17,1,17#1,122,code,S05,"S05A retrofits what is retrofittable and determines by measurement whether S05 requires a rerun, rather than presuming one."
17,1,17#1,122,number,17,17.
18,1,18#1,125,code,MCS,Seed recovery is NOT attempted for the MCS bootstrap.
18,1,18#1,125,number,18,18.
19,1,19#1,128,path,S03/S04,The S03/S04 pipeline consistency test runs here.
19,1,19#1,128,code,S03,The S03/S04 pipeline consistency test runs here.
19,1,19#1,128,code,S04,The S03/S04 pipeline consistency test runs here.
19,1,19#1,128,code,S03,Two copies of rules 1-4 and 6 exist (S03 pipeline.
19,1,19#1,128,code,S04,main and the S04 re-execution) and nothing has asserted they agree.
19,1,19#1,128,code,S04,A failure invalidates S04 and S05 downstream.
19,1,19#1,128,code,S05,A failure invalidates S04 and S05 downstream.
19,1,19#1,128,number,19,19.
19,1,19#1,128,number,1,Two copies of rules 1-4 and 6 exist (S03 pipeline.
19,1,19#1,128,number,6,Two copies of rules 1-4 and 6 exist (S03 pipeline.
20,1,20#1,131,code,S05,"Phase 2 comparison span and Phase 4 verification cells are fixed by deterministic rule stated in the session prompt before execution, since neither could be named in advance of reading S05."
20,1,20#1,131,number,20,20.
20,1,20#1,131,number,2,"Phase 2 comparison span and Phase 4 verification cells are fixed by deterministic rule stated in the session prompt before execution, since neither could be named in advance of reading S05."
20,1,20#1,131,number,4,"Phase 2 comparison span and Phase 4 verification cells are fixed by deterministic rule stated in the session prompt before execution, since neither could be named in advance of reading S05."
20,1,20#1,131,number,3,Phase 3 execution order is fixed for the same reason.
21,1,21#1,137,code,S05,S05 section 5 reports M4_HARQ QLIKE of order 1e296 with R-squared near -630 and Spearman IC near 0.
21,1,21#1,137,code,B1,M3_HARJ shows the same pattern in two B1 cells.
21,1,21#1,137,code,S05B,S05B locates and counts the responsible forecasts.
21,1,21#1,137,number,21,21.
21,1,21#1,137,number,5,S05 section 5 reports M4_HARQ QLIKE of order 1e296 with R-squared near -630 and Spearman IC near 0.
21,1,21#1,137,number,1e296,S05 section 5 reports M4_HARQ QLIKE of order 1e296 with R-squared near -630 and Spearman IC near 0.
21,1,21#1,137,number,0.82,S05 section 5 reports M4_HARQ QLIKE of order 1e296 with R-squared near -630 and Spearman IC near 0.82 in the same cell.
22,1,22#1,140,code,S05,S05 Part E returns definite MCS compositions for cells whose section 5 loss column is inf or nan for every model.
22,1,22#1,140,code,MCS,S05 Part E returns definite MCS compositions for cells whose section 5 loss column is inf or nan for every model.
22,1,22#1,140,code,S05B,"S05B inspects the array the MCS actually consumes and its non-finite handling, without re-running the MCS."
22,1,22#1,140,code,MCS,"S05B inspects the array the MCS actually consumes and its non-finite handling, without re-running the MCS."
22,1,22#1,140,code,MCS,"S05B inspects the array the MCS actually consumes and its non-finite handling, without re-running the MCS."
22,1,22#1,140,number,22,22.
22,1,22#1,140,number,5,S05 Part E returns definite MCS compositions for cells whose section 5 loss column is inf or nan for every model.
23,1,23#1,143,code,S05,S05 section 5 applies one lam_hat per cell without recording which of the six Part C estimators produced it.
23,1,23#1,143,code,S05B,S05B determines provenance by source inspection.
23,1,23#1,143,number,23,23.
23,1,23#1,143,number,5,S05 section 5 applies one lam_hat per cell without recording which of the six Part C estimators produced it.
24,1,24#1,145,number,24,24.
24,1,24#1,145,number,5,Every Part E composition and every section 5 metric is treated as unverified until items 21 to 23 are resolved.
24,1,24#1,145,number,21,Every Part E composition and every section 5 metric is treated as unverified until items 21 to 23 are resolved.
24,1,24#1,145,number,23,Every Part E composition and every section 5 metric is treated as unverified until items 21 to 23 are resolved.
25,1,25#1,147,date,2026-08-18,Items 26 to 32 were specified on 2026-08-18 after the S05 report was read.
25,1,25#1,147,code,S05,Items 26 to 32 were specified on 2026-08-18 after the S05 report was read.
25,1,25#1,147,code,S05,"They are diagnostic tests of estimator validity, not selections among outcomes, and no result reported in S05 is altered by them."
25,1,25#1,147,number,25,25.
25,1,25#1,147,number,26,Items 26 to 32 were specified on 2026-08-18 after the S05 report was read.
25,1,25#1,147,number,32,Items 26 to 32 were specified on 2026-08-18 after the S05 report was read.
26,1,26#1,150,code,IV,Var(log IV) is a property of the IV series at a given horizon and cannot depend on the sampling grid used to measure RV.
26,1,26#1,150,code,IV,Var(log IV) is a property of the IV series at a given horizon and cannot depend on the sampling grid used to measure RV.
26,1,26#1,150,code,RV,Var(log IV) is a property of the IV series at a given horizon and cannot depend on the sampling grid used to measure RV.
26,1,26#1,150,number,26,26.
26,1,26#1,150,number,23,"Grid invariance of lambda_M * Var(log RV_M) is therefore an assumption-free validity test, and is adopted as the empirical basis for resolving item 23 in place of deferring to publication status."
27,1,27#1,154,code,S03,S03 established that noise is not binding at the 1e-2 scale tested by the S01 and S02 grids.
27,1,27#1,154,code,S01,S03 established that noise is not binding at the 1e-2 scale tested by the S01 and S02 grids.
27,1,27#1,154,code,S02,S03 established that noise is not binding at the 1e-2 scale tested by the S01 and S02 grids.
27,1,27#1,154,code,RV,The measured 4 to 10 percent signature-plot rise is an M-dependent RV distortion and is tested directly here.
27,1,27#1,154,number,27,27.
27,1,27#1,154,number,1e-2,S03 established that noise is not binding at the 1e-2 scale tested by the S01 and S02 grids.
27,1,27#1,154,number,1e-5,It did not establish that noise is immaterial at the 1e-5 scale relative to a target quantity of order 1e-2.
27,1,27#1,154,number,1e-2,It did not establish that noise is immaterial at the 1e-5 scale relative to a target quantity of order 1e-2.
27,1,27#1,154,number,4,The measured 4 to 10 percent signature-plot rise is an M-dependent RV distortion and is tested directly here.
27,1,27#1,154,number,10,The measured 4 to 10 percent signature-plot rise is an M-dependent RV distortion and is tested directly here.
28,1,28#1,159,path,M/2,"The exact finite-M sampling variance of log RV under constant volatility is trigamma(M/2), not 2/M."
28,1,28#1,159,path,2/M,"The exact finite-M sampling variance of log RV under constant volatility is trigamma(M/2), not 2/M."
28,1,28#1,159,path,2/M,trigamma is used throughout and every prior use of 2/M is recorded.
28,1,28#1,159,code,RV,"The exact finite-M sampling variance of log RV under constant volatility is trigamma(M/2), not 2/M."
28,1,28#1,159,number,28,28.
28,1,28#1,159,number,40,"The approximation understates it by 40 percent at M=3, 8."
28,1,28#1,159,number,3,"The approximation understates it by 40 percent at M=3, 8."
28,1,28#1,159,number,8.1,"The approximation understates it by 40 percent at M=3, 8.1 percent at M=13 and 0."
28,1,28#1,159,number,13,1 percent at M=13 and 0.
28,1,28#1,159,number,0.3,"1 percent at M=13 and 0.3 percent at M=390, so the error concentrates at the coarse end where the elasticity fit takes its leverage."
28,1,28#1,159,number,390,"3 percent at M=390, so the error concentrates at the coarse end where the elasticity fit takes its leverage."
29,1,29#1,164,code,S05,"The M grid is extended below the S05 range to M of 5, 6 and 10 where session length divides exactly."
