cell,source,model,n_eval,n_replaced,share_replaced,mean_qlike,share_qlike_from_replaced,share_qlike_worst5,flag_replaced_over_quarter
ES/RTH/B1/1day,S06R,M4_HARQ,1401,24,0.017130620985010708,0.6447479274836281,0.7088821160866295,0.38120183512989214,True
ES/RTH/B1/1h,S06R,M3_HARJ,10906,297,0.027232715936181918,0.37608260545701455,0.3591622369232458,0.05602531521304015,True
ES/RTH/B1/1h,S06R,M4_HARQ,10906,555,0.050889418668622774,0.4095735508708865,0.43273696107427,0.05336960665706498,True
ES/RTH/B1/30min,S06R,M3_HARJ,22312,3715,0.16650233058443886,0.5362813071788394,0.6567281016829486,0.016913080185180073,True
ES/RTH/B1/30min,S06R,M4_HARQ,22312,4615,0.20683936894944424,0.5830699052648041,0.7149856015819493,0.01570847361513121,True
NQ/RTH/B0/1day,S06R,M3_HARJ,1401,23,0.01641684511063526,0.4429779588340259,0.6517975179353247,0.3791839545003713,True
NQ/RTH/B0/1day,S06R,M4_HARQ,1401,24,0.017130620985010708,0.4521656308186152,0.6603623321923937,0.37147921632851677,True
NQ/RTH/B0/1h,S06R,M3_HARJ,10906,86,0.007885567577480285,0.3796055783291953,0.15897039100198732,0.039530817485614406,False
NQ/RTH/B0/1h,S06R,M4_HARQ,10906,130,0.0119200440124702,0.39069375560658426,0.17743510418064157,0.0384146379867644,False
NQ/RTH/B0/30min,S06R,M3_HARJ,22312,1103,0.049435281462889925,0.40193545284761645,0.3333377801879157,0.01766271354652722,True
NQ/RTH/B0/30min,S06R,M4_HARQ,22312,1565,0.07014162782359269,0.433771573926535,0.40299694455113005,0.017544056934052556,True
NQ/RTH/B1/1day,S06R,M3_HARJ,1401,25,0.017844396859386154,0.45357401136993564,0.64937856790637,0.36008285208651536,True
NQ/RTH/B1/1day,S06R,M4_HARQ,1401,28,0.01998572448251249,0.4773089088601875,0.6787573690051875,0.34217719513433303,True
NQ/RTH/B1/1h,S06R,M3_HARJ,10906,102,0.009352649917476618,0.3693561730486364,0.16764210816713607,0.038372915180219166,False
NQ/RTH/B1/1h,S06R,M4_HARQ,10906,131,0.012011736658719971,0.37865764677760455,0.17961157595912655,0.03752260047879683,False
NQ/RTH/B1/30min,S06R,M3_HARJ,22312,1240,0.05557547508067408,0.3998688831175426,0.3670224419622401,0.016380320748972235,True
NQ/RTH/B1/30min,S06R,M4_HARQ,22312,1610,0.07215847974184296,0.42576936472752286,0.4211077439517443,0.017541961082114962,True
